"filename", "language", "JavaScript", "JSON", "Ignore", "YAML", "Markdown", "JSON with Comments", "TypeScript JSX", "TypeScript", "Less", "HTML", "CSV", "XML", "Shell Script", "CSS", "Docker", "comment", "blank", "total"
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\CypherCodeMirror\codemirror-cypher.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 23, 18, 139
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\CypherCodeMirror\css\_solarized.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 41, 5, 64
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\CypherCodeMirror\css\completion.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 19, 17, 138
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\CypherCodeMirror\css\editor.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 27, 8, 79
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\CypherCodeMirror\css\syntax.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 25, 17, 88
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\CypherCodeMirror\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\info.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\registerMeta.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 1, 4, 75
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\setting\functions.json", "JSON", 0, 839, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 840
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\setting\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 6, 145
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\setting\procedures.json", "JSON", 0, 2359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2360
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\EdgeBundling\Component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 63
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\EdgeBundling\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 19
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\EdgeBundling\registerMeta.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\GraphAnnotation\Component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 253
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\GraphAnnotation\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\GraphAnnotation\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\GraphAnnotation\registerMeta.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\GremlinPathQuery\Component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 342, 0, 0, 0, 0, 0, 0, 0, 0, 19, 28, 389
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\GremlinPathQuery\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\GremlinPathQuery\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 3, 20
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\GremlinPathQuery\registerMeta.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 3, 27
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\GremlinQuery\Component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 21, 21, 171
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\GremlinQuery\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\GremlinQuery\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\GremlinQuery\info.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\GremlinQuery\registerMeta.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 1, 5, 76
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\JSONMode\Component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 46
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\JSONMode\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\JSONMode\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\JSONMode\info.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\JSONMode\registerMeta.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\ModeSwitch\Component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 135
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\ModeSwitch\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 21
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\ModeSwitch\registerMeta.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 5, 60
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\ModeSwitch\typing.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\PublishTemplate\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\PublishTemplate\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 360, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31, 396
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Redo\Component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Redo\index.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Redo\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Redo\info.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Redo\registerMeta.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\SearchBar\Component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 26, 36, 261
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\SearchBar\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 1, 26
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\SearchBar\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 21
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\SearchBar\registerMeta.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 5, 35
